length	run	comparisons
8	1	12
8	2	16
8	3	16
8	4	18
8	5	19
8	6	16
8	7	18
8	8	17
8	9	17
8	10	18
9	1	24
9	2	19
9	3	23
9	4	22
9	5	23
9	6	25
9	7	17
9	8	20
9	9	16
9	10	18
10	1	25
10	2	26
10	3	26
10	4	31
10	5	26
10	6	24
10	7	28
10	8	24
10	9	28
10	10	27
11	1	31
11	2	30
11	3	33
11	4	32
11	5	28
11	6	34
11	7	35
11	8	32
11	9	33
11	10	34
12	1	35
12	2	36
12	3	35
12	4	39
12	5	37
12	6	36
12	7	38
12	8	37
12	9	39
12	10	40
13	1	46
13	2	45
13	3	44
13	4	36
13	5	47
13	6	46
13	7	44
13	8	46
13	9	42
13	10	49
14	1	49
14	2	51
14	3	53
14	4	47
14	5	51
14	6	49
14	7	48
14	8	54
14	9	53
14	10	45
15	1	59
15	2	59
15	3	52
15	4	59
15	5	54
15	6	51
15	7	55
15	8	55
15	9	57
15	10	55
16	1	63
16	2	69
16	3	66
16	4	69
16	5	63
16	6	65
16	7	65
16	8	68
16	9	59
16	10	61
17	1	71
17	2	73
17	3	72
17	4	68
17	5	72
17	6	73
17	7	71
17	8	72
17	9	68
17	10	76
18	1	81
18	2	80
18	3	75
18	4	88
18	5	87
18	6	84
18	7	78
18	8	79
18	9	82
18	10	83
19	1	90
19	2	81
19	3	86
19	4	86
19	5	90
19	6	81
19	7	84
19	8	89
19	9	90
19	10	80
20	1	96
20	2	91
20	3	91
20	4	95
20	5	98
20	6	98
20	7	101
20	8	92
20	9	98
20	10	106
21	1	103
21	2	108
21	3	96
21	4	107
21	5	103
21	6	99
21	7	112
21	8	109
21	9	111
21	10	103
22	1	113
22	2	115
22	3	110
22	4	117
22	5	120
22	6	122
22	7	121
22	8	115
22	9	117
22	10	113
23	1	124
23	2	122
23	3	122
23	4	129
23	5	124
23	6	128
23	7	123
23	8	127
23	9	119
23	10	123
24	1	140
24	2	140
24	3	133
24	4	138
24	5	140
24	6	133
24	7	129
24	8	136
24	9	131
24	10	126
25	1	153
25	2	144
25	3	153
25	4	149
25	5	142
25	6	155
25	7	146
25	8	132
25	9	161
25	10	150
26	1	156
26	2	140
26	3	157
26	4	162
26	5	157
26	6	155
26	7	164
26	8	164
26	9	147
26	10	166
27	1	163
27	2	155
27	3	156
27	4	164
27	5	172
27	6	163
27	7	160
27	8	163
27	9	174
27	10	148
28	1	179
28	2	186
28	3	183
28	4	167
28	5	181
28	6	181
28	7	172
28	8	159
28	9	187
28	10	169
29	1	195
29	2	192
29	3	192
29	4	186
29	5	193
29	6	188
29	7	182
29	8	175
29	9	193
29	10	193
30	1	203
30	2	215
30	3	208
30	4	207
30	5	185
30	6	197
30	7	197
30	8	196
30	9	203
30	10	200
31	1	223
31	2	219
31	3	211
31	4	194
31	5	207
31	6	220
31	7	212
31	8	214
31	9	213
31	10	207
32	1	213
32	2	209
32	3	215
32	4	219
32	5	227
32	6	208
32	7	226
32	8	233
32	9	218
32	10	214
33	1	234
33	2	233
33	3	223
33	4	217
33	5	236
33	6	221
33	7	220
33	8	225
33	9	223
33	10	219
34	1	228
34	2	239
34	3	241
34	4	245
34	5	246
34	6	243
34	7	250
34	8	232
34	9	254
34	10	232
35	1	238
35	2	276
35	3	256
35	4	257
35	5	271
35	6	258
35	7	261
35	8	262
35	9	249
35	10	255
36	1	261
36	2	289
36	3	275
36	4	288
36	5	257
36	6	255
36	7	259
36	8	267
36	9	267
36	10	275
37	1	269
37	2	273
37	3	282
37	4	270
37	5	280
37	6	283
37	7	270
37	8	270
37	9	276
37	10	283
38	1	287
38	2	286
38	3	295
38	4	284
38	5	298
38	6	289
38	7	304
38	8	301
38	9	297
38	10	299
39	1	311
39	2	287
39	3	308
39	4	291
39	5	302
39	6	311
39	7	292
39	8	288
39	9	317
39	10	307
40	1	339
40	2	318
40	3	302
40	4	324
40	5	333
40	6	311
40	7	315
40	8	324
40	9	318
40	10	341
41	1	330
41	2	352
41	3	334
41	4	336
41	5	329
41	6	343
41	7	342
41	8	330
41	9	332
41	10	337
42	1	336
42	2	348
42	3	354
42	4	361
42	5	369
42	6	352
42	7	372
42	8	357
42	9	345
42	10	352
43	1	380
43	2	364
43	3	367
43	4	349
43	5	373
43	6	342
43	7	369
43	8	355
43	9	380
43	10	364
44	1	365
44	2	386
44	3	394
44	4	388
44	5	386
44	6	374
44	7	387
44	8	411
44	9	365
44	10	372
45	1	393
45	2	388
45	3	377
45	4	391
45	5	421
45	6	387
45	7	408
45	8	395
45	9	428
45	10	387
46	1	429
46	2	406
46	3	419
46	4	398
46	5	409
46	6	432
46	7	412
46	8	414
46	9	421
46	10	408
47	1	430
47	2	428
47	3	414
47	4	431
47	5	413
47	6	426
47	7	413
47	8	437
47	9	415
47	10	443
48	1	481
48	2	443
48	3	418
48	4	449
48	5	467
48	6	440
48	7	418
48	8	438
48	9	423
48	10	435
49	1	474
49	2	460
49	3	472
49	4	466
49	5	478
49	6	481
49	7	478
49	8	465
49	9	471
49	10	461
50	1	525
50	2	454
50	3	455
50	4	475
50	5	489
50	6	470
50	7	503
50	8	476
50	9	466
50	10	481
51	1	492
51	2	504
51	3	498
51	4	495
51	5	483
51	6	479
51	7	508
51	8	513
51	9	492
51	10	500
52	1	518
52	2	506
52	3	484
52	4	516
52	5	528
52	6	514
52	7	520
52	8	488
52	9	524
52	10	518
53	1	534
53	2	525
53	3	525
53	4	547
53	5	547
53	6	516
53	7	530
53	8	543
53	9	521
53	10	523
54	1	567
54	2	546
54	3	542
54	4	566
54	5	550
54	6	556
54	7	549
54	8	533
54	9	548
