length	run	comparisons
8	1	12
8	2	16
8	3	16
8	4	17
8	5	19
8	6	16
8	7	18
8	8	17
8	9	17
8	10	18
9	1	24
9	2	19
9	3	23
9	4	22
9	5	22
9	6	25
9	7	16
9	8	19
9	9	16
9	10	18
10	1	25
10	2	26
10	3	26
10	4	31
10	5	26
10	6	22
10	7	27
10	8	24
10	9	28
10	10	27
11	1	31
11	2	28
11	3	32
11	4	31
11	5	27
11	6	33
11	7	35
11	8	31
11	9	30
11	10	33
12	1	34
12	2	35
12	3	35
12	4	39
12	5	36
12	6	36
12	7	38
12	8	35
12	9	39
12	10	40
13	1	42
13	2	44
13	3	41
13	4	34
13	5	47
13	6	44
13	7	43
13	8	46
13	9	42
13	10	49
14	1	49
14	2	45
14	3	53
14	4	41
14	5	49
14	6	48
14	7	48
14	8	52
14	9	50
14	10	45
15	1	58
15	2	58
15	3	52
15	4	58
15	5	54
15	6	47
15	7	54
15	8	53
15	9	55
15	10	53
16	1	62
16	2	68
16	3	61
16	4	65
16	5	58
16	6	63
16	7	62
16	8	68
16	9	55
16	10	61
17	1	66
17	2	70
17	3	66
17	4	61
17	5	65
17	6	72
17	7	69
17	8	69
17	9	63
17	10	74
18	1	79
18	2	76
18	3	71
18	4	84
18	5	79
18	6	80
18	7	72
18	8	70
18	9	77
18	10	82
19	1	84
19	2	71
19	3	79
19	4	84
19	5	87
19	6	79
19	7	83
19	8	87
19	9	90
19	10	72
20	1	93
20	2	88
20	3	88
20	4	90
20	5	95
20	6	94
20	7	96
20	8	87
20	9	90
20	10	104
21	1	100
21	2	104
21	3	92
21	4	100
21	5	101
21	6	94
21	7	108
21	8	103
21	9	108
21	10	103
22	1	109
22	2	111
22	3	106
22	4	114
22	5	104
22	6	118
22	7	114
22	8	114
22	9	112
22	10	109
23	1	113
23	2	115
23	3	118
23	4	122
23	5	113
23	6	118
23	7	117
23	8	116
23	9	112
23	10	119
24	1	135
24	2	135
24	3	126
24	4	124
24	5	137
24	6	127
24	7	126
24	8	127
24	9	128
24	10	110
25	1	140
25	2	132
25	3	137
25	4	138
25	5	125
25	6	147
25	7	136
25	8	126
25	9	143
25	10	146
26	1	142
26	2	134
26	3	143
26	4	152
26	5	147
26	6	134
26	7	156
26	8	156
26	9	127
26	10	152
27	1	154
27	2	137
27	3	151
27	4	157
27	5	166
27	6	156
27	7	153
27	8	154
27	9	160
27	10	127
28	1	171
28	2	174
28	3	170
28	4	152
28	5	167
28	6	167
28	7	163
28	8	149
28	9	173
28	10	152
29	1	190
29	2	179
29	3	176
29	4	179
29	5	178
29	6	178
29	7	158
29	8	169
29	9	184
29	10	176
30	1	193
30	2	200
30	3	194
30	4	192
30	5	171
30	6	186
30	7	184
30	8	177
30	9	191
30	10	191
31	1	192
31	2	210
31	3	189
31	4	183
31	5	193
31	6	207
31	7	197
31	8	196
31	9	200
31	10	192
32	1	203
32	2	201
32	3	195
32	4	200
32	5	212
32	6	190
32	7	209
32	8	223
32	9	205
32	10	193
33	1	213
33	2	221
33	3	211
33	4	197
33	5	215
33	6	201
33	7	208
33	8	209
33	9	207
33	10	201
34	1	206
34	2	215
34	3	229
34	4	217
34	5	232
34	6	224
34	7	214
34	8	205
34	9	232
34	10	213
35	1	216
35	2	249
35	3	236
35	4	242
35	5	251
35	6	245
35	7	237
35	8	227
35	9	230
35	10	238
36	1	237
36	2	268
36	3	262
36	4	265
36	5	235
36	6	239
36	7	233
36	8	252
36	9	236
36	10	258
37	1	251
37	2	249
37	3	261
37	4	255
37	5	251
37	6	268
37	7	247
37	8	243
37	9	250
37	10	260
38	1	268
38	2	274
38	3	283
38	4	264
38	5	281
38	6	266
38	7	271
38	8	287
38	9	278
38	10	280
39	1	278
39	2	265
39	3	286
39	4	267
39	5	280
39	6	284
39	7	277
39	8	259
39	9	296
39	10	284
40	1	319
40	2	298
40	3	279
40	4	298
40	5	316
40	6	276
40	7	291
40	8	308
40	9	290
40	10	312
41	1	305
41	2	325
41	3	305
41	4	300
41	5	301
41	6	298
41	7	310
41	8	300
41	9	309
41	10	301
42	1	296
42	2	294
42	3	318
42	4	325
42	5	333
42	6	315
42	7	349
42	8	326
42	9	312
42	10	312
43	1	343
43	2	321
43	3	337
43	4	330
43	5	338
43	6	319
43	7	328
43	8	304
43	9	334
43	10	330
44	1	330
44	2	349
44	3	355
44	4	359
44	5	364
44	6	340
44	7	366
44	8	385
44	9	334
44	10	326
45	1	330
45	2	355
45	3	331
45	4	361
45	5	398
45	6	343
45	7	363
45	8	363
45	9	385
45	10	344
46	1	387
46	2	382
46	3	393
46	4	351
46	5	341
46	6	384
46	7	374
46	8	375
46	9	389
46	10	361
47	1	386
47	2	373
47	3	379
47	4	389
47	5	381
47	6	391
47	7	371
47	8	392
47	9	380
47	10	405
48	1	429
48	2	406
48	3	380
48	4	403
48	5	406
48	6	387
48	7	363
48	8	399
48	9	374
48	10	391
49	1	440
49	2	422
49	3	423
49	4	401
49	5	432
49	6	420
49	7	431
49	8	411
49	9	409
49	10	400
50	1	433
50	2	397
50	3	400
50	4	426
50	5	422
50	6	418
50	7	439
50	8	422
50	9	419
50	10	431
51	1	460
51	2	437
51	3	451
51	4	457
51	5	424
51	6	432
51	7	437
51	8	462
51	9	454
51	10	430
52	1	465
52	2	453
52	3	425
52	4	482
52	5	461
52	6	462
52	7	445
52	8	439
52	9	467
52	10	482
53	1	451
53	2	452
53	3	459
53	4	514
53	5	502
53	6	484
53	7	462
53	8	485
53	9	465
53	10	464
54	1	504
54	2	491
54	3	498
54	4	497
54	5	501
54	6	509
54	7	490
54	8	463
54	9	503
