length	run	comparisons
8	1	12
8	2	16
8	3	16
8	4	17
8	5	18
8	6	16
8	7	17
8	8	16
8	9	17
8	10	18
9	1	22
9	2	19
9	3	20
9	4	20
9	5	19
9	6	22
9	7	16
9	8	18
9	9	15
9	10	16
10	1	23
10	2	20
10	3	23
10	4	26
10	5	25
10	6	21
10	7	25
10	8	20
10	9	24
10	10	24
11	1	28
11	2	25
11	3	25
11	4	24
11	5	22
11	6	28
11	7	32
11	8	28
11	9	28
11	10	28
12	1	31
12	2	32
12	3	31
12	4	32
12	5	29
12	6	30
12	7	34
12	8	32
12	9	36
12	10	36
13	1	35
13	2	37
13	3	35
13	4	26
13	5	40
13	6	39
13	7	37
13	8	39
13	9	34
13	10	35
14	1	40
14	2	40
14	3	40
14	4	39
14	5	41
14	6	44
14	7	38
14	8	39
14	9	39
14	10	40
15	1	47
15	2	50
15	3	46
15	4	45
15	5	44
15	6	41
15	7	48
15	8	47
15	9	45
15	10	47
16	1	47
16	2	52
16	3	48
16	4	48
16	5	51
16	6	50
16	7	41
16	8	54
16	9	50
16	10	47
17	1	54
17	2	58
17	3	56
17	4	53
17	5	57
17	6	52
17	7	53
17	8	58
17	9	45
17	10	53
18	1	61
18	2	60
18	3	56
18	4	67
18	5	56
18	6	63
18	7	56
18	8	55
18	9	62
18	10	58
19	1	62
19	2	55
19	3	63
19	4	65
19	5	70
19	6	63
19	7	62
19	8	69
19	9	61
19	10	58
20	1	69
20	2	66
20	3	65
20	4	71
20	5	65
20	6	65
20	7	66
20	8	68
20	9	77
20	10	70
21	1	80
21	2	72
21	3	66
21	4	76
21	5	76
21	6	66
21	7	78
21	8	76
21	9	83
21	10	78
22	1	85
22	2	81
22	3	76
22	4	77
22	5	75
22	6	78
22	7	88
22	8	82
22	9	83
22	10	84
23	1	80
23	2	86
23	3	85
23	4	85
23	5	78
23	6	90
23	7	87
23	8	85
23	9	81
23	10	85
24	1	90
24	2	92
24	3	85
24	4	85
24	5	88
24	6	92
24	7	100
24	8	92
24	9	93
24	10	81
25	1	92
25	2	97
25	3	97
25	4	96
25	5	100
25	6	87
25	7	98
25	8	93
25	9	97
25	10	102
26	1	102
26	2	97
26	3	90
26	4	101
26	5	108
26	6	98
26	7	102
26	8	102
26	9	91
26	10	105
27	1	104
27	2	101
27	3	116
27	4	109
27	5	112
27	6	101
27	7	109
27	8	110
27	9	111
27	10	101
28	1	111
28	2	107
28	3	112
28	4	115
28	5	115
28	6	110
28	7	119
28	8	114
28	9	116
28	10	111
29	1	126
29	2	122
29	3	116
29	4	121
29	5	121
29	6	121
29	7	112
29	8	120
29	9	131
29	10	114
30	1	132
30	2	135
30	3	131
30	4	132
30	5	116
30	6	129
30	7	125
30	8	120
30	9	136
30	10	125
31	1	120
31	2	137
31	3	133
31	4	124
31	5	126
31	6	138
31	7	128
31	8	130
31	9	140
31	10	123
32	1	150
32	2	142
32	3	145
32	4	131
32	5	143
32	6	140
32	7	138
32	8	141
32	9	146
32	10	134
33	1	140
33	2	151
33	3	149
33	4	135
33	5	143
33	6	137
33	7	140
33	8	142
33	9	147
33	10	145
34	1	144
34	2	145
34	3	152
34	4	146
34	5	155
34	6	152
34	7	151
34	8	149
34	9	160
34	10	147
35	1	153
35	2	163
35	3	162
35	4	168
35	5	173
35	6	147
35	7	157
35	8	153
35	9	158
35	10	151
36	1	155
36	2	164
36	3	168
36	4	154
36	5	161
36	6	154
36	7	163
36	8	174
36	9	158
36	10	162
37	1	169
37	2	176
37	3	170
37	4	178
37	5	174
37	6	179
37	7	168
37	8	172
37	9	169
37	10	169
38	1	173
38	2	165
38	3	177
38	4	172
38	5	185
38	6	173
38	7	180
38	8	173
38	9	188
38	10	172
39	1	186
39	2	175
39	3	191
39	4	177
39	5	179
39	6	176
39	7	182
39	8	185
39	9	179
39	10	186
40	1	189
40	2	187
40	3	192
40	4	192
40	5	198
40	6	191
40	7	193
40	8	193
40	9	196
40	10	203
41	1	195
41	2	192
41	3	201
41	4	198
41	5	200
41	6	196
41	7	189
41	8	184
41	9	190
41	10	190
42	1	204
42	2	200
42	3	206
42	4	200
42	5	195
42	6	203
42	7	200
42	8	203
42	9	209
42	10	199
43	1	194
43	2	208
43	3	214
43	4	210
43	5	214
43	6	208
43	7	199
43	8	203
43	9	205
43	10	200
44	1	213
44	2	215
44	3	214
44	4	229
44	5	217
44	6	195
44	7	212
44	8	228
44	9	223
44	10	218
45	1	219
45	2	206
45	3	207
45	4	213
45	5	238
45	6	220
45	7	225
45	8	223
45	9	213
45	10	221
46	1	228
46	2	229
46	3	229
46	4	230
46	5	236
46	6	229
46	7	229
46	8	232
46	9	239
46	10	236
47	1	236
47	2	227
47	3	236
47	4	221
47	5	226
47	6	233
47	7	222
47	8	244
47	9	231
47	10	240
48	1	225
48	2	253
48	3	244
48	4	242
48	5	239
48	6	242
48	7	235
48	8	252
48	9	232
48	10	241
49	1	253
49	2	245
49	3	245
49	4	235
49	5	257
49	6	258
49	7	237
49	8	246
49	9	250
49	10	262
50	1	245
50	2	246
50	3	246
50	4	250
50	5	260
50	6	261
50	7	245
50	8	262
50	9	267
50	10	254
51	1	274
51	2	271
51	3	267
51	4	266
51	5	267
51	6	261
51	7	259
51	8	270
51	9	272
51	10	276
52	1	285
52	2	271
52	3	271
52	4	276
52	5	281
52	6	279
52	7	254
52	8	252
52	9	265
52	10	286
53	1	266
53	2	280
53	3	280
53	4	287
53	5	290
53	6	285
53	7	277
53	8	282
53	9	265
53	10	287
54	1	277
54	2	292
54	3	282
54	4	288
54	5	292
54	6	293
54	7	267
54	8	272
54	9	290
