length	run	comparisons
8	1	12
8	2	16
8	3	16
8	4	17
8	5	18
8	6	16
8	7	17
8	8	16
8	9	17
8	10	18
9	1	22
9	2	19
9	3	20
9	4	20
9	5	19
9	6	22
9	7	16
9	8	18
9	9	15
9	10	16
10	1	23
10	2	20
10	3	23
10	4	26
10	5	25
10	6	21
10	7	25
10	8	20
10	9	24
10	10	24
11	1	28
11	2	25
11	3	25
11	4	24
11	5	22
11	6	28
11	7	32
11	8	28
11	9	28
11	10	28
12	1	31
12	2	32
12	3	31
12	4	32
12	5	29
12	6	30
12	7	34
12	8	32
12	9	36
12	10	36
13	1	35
13	2	37
13	3	35
13	4	28
13	5	40
13	6	39
13	7	37
13	8	39
13	9	34
13	10	35
14	1	40
14	2	40
14	3	40
14	4	39
14	5	41
14	6	44
14	7	38
14	8	39
14	9	39
14	10	40
15	1	47
15	2	50
15	3	46
15	4	45
15	5	44
15	6	41
15	7	48
15	8	47
15	9	45
15	10	47
16	1	47
16	2	52
16	3	48
16	4	48
16	5	51
16	6	50
16	7	42
16	8	54
16	9	50
16	10	47
17	1	54
17	2	59
17	3	56
17	4	53
17	5	58
17	6	52
17	7	54
17	8	58
17	9	46
17	10	54
18	1	61
18	2	60
18	3	56
18	4	67
18	5	56
18	6	63
18	7	56
18	8	55
18	9	62
18	10	58
19	1	62
19	2	55
19	3	63
19	4	66
19	5	70
19	6	63
19	7	62
19	8	69
19	9	62
19	10	58
20	1	69
20	2	66
20	3	65
20	4	71
20	5	67
20	6	65
20	7	69
20	8	68
20	9	77
20	10	71
21	1	80
21	2	72
21	3	66
21	4	76
21	5	76
21	6	67
21	7	78
21	8	76
21	9	83
21	10	78
22	1	85
22	2	81
22	3	76
22	4	77
22	5	75
22	6	78
22	7	88
22	8	86
22	9	83
22	10	84
23	1	81
23	2	86
23	3	85
23	4	86
23	5	84
23	6	90
23	7	87
23	8	85
23	9	83
23	10	85
24	1	90
24	2	93
24	3	87
24	4	86
24	5	88
24	6	93
24	7	100
24	8	92
24	9	93
24	10	81
25	1	92
25	2	97
25	3	98
25	4	96
25	5	100
25	6	89
25	7	98
25	8	93
25	9	103
25	10	102
26	1	102
26	2	97
26	3	90
26	4	101
26	5	108
26	6	98
26	7	102
26	8	102
26	9	93
26	10	105
27	1	105
27	2	101
27	3	116
27	4	110
27	5	112
27	6	102
27	7	109
27	8	111
27	9	111
27	10	101
28	1	111
28	2	111
28	3	113
28	4	115
28	5	115
28	6	111
28	7	119
28	8	114
28	9	116
28	10	111
29	1	128
29	2	122
29	3	116
29	4	123
29	5	121
29	6	122
29	7	113
29	8	120
29	9	133
29	10	114
30	1	132
30	2	135
30	3	131
30	4	132
30	5	116
30	6	129
30	7	125
30	8	120
30	9	136
30	10	125
31	1	121
31	2	131
31	3	134
31	4	124
31	5	129
31	6	140
31	7	128
31	8	131
31	9	141
31	10	123
32	1	151
32	2	142
32	3	145
32	4	131
32	5	144
32	6	140
32	7	138
32	8	141
32	9	147
32	10	134
33	1	140
33	2	151
33	3	149
33	4	142
33	5	143
33	6	135
33	7	140
33	8	142
33	9	147
33	10	145
34	1	144
34	2	145
34	3	152
34	4	146
34	5	155
34	6	152
34	7	151
34	8	150
34	9	160
34	10	147
35	1	153
35	2	163
35	3	162
35	4	168
35	5	173
35	6	147
35	7	159
35	8	153
35	9	159
35	10	151
36	1	155
36	2	164
36	3	168
36	4	155
36	5	162
36	6	156
36	7	163
36	8	176
36	9	158
36	10	162
37	1	169
37	2	176
37	3	170
37	4	178
37	5	174
37	6	179
37	7	170
37	8	173
37	9	171
37	10	169
38	1	173
38	2	166
38	3	182
38	4	172
38	5	185
38	6	173
38	7	180
38	8	174
38	9	190
38	10	172
39	1	186
39	2	175
39	3	191
39	4	177
39	5	181
39	6	179
39	7	182
39	8	185
39	9	186
39	10	190
40	1	189
40	2	187
40	3	192
40	4	192
40	5	198
40	6	191
40	7	193
40	8	193
40	9	196
40	10	203
41	1	196
41	2	192
41	3	203
41	4	198
41	5	195
41	6	196
41	7	189
41	8	189
41	9	196
41	10	192
42	1	204
42	2	200
42	3	206
42	4	202
42	5	196
42	6	207
42	7	200
42	8	203
42	9	210
42	10	199
43	1	197
43	2	208
43	3	215
43	4	210
43	5	214
43	6	208
43	7	199
43	8	203
43	9	206
43	10	200
44	1	216
44	2	218
44	3	214
44	4	229
44	5	218
44	6	195
44	7	213
44	8	228
44	9	223
44	10	219
45	1	220
45	2	207
45	3	207
45	4	214
45	5	238
45	6	221
45	7	225
45	8	225
45	9	213
45	10	222
46	1	229
46	2	229
46	3	231
46	4	230
46	5	236
46	6	229
46	7	230
46	8	232
46	9	240
46	10	236
47	1	237
47	2	227
47	3	236
47	4	222
47	5	227
47	6	233
47	7	222
47	8	243
47	9	232
47	10	240
48	1	230
48	2	253
48	3	245
48	4	243
48	5	239
48	6	243
48	7	237
48	8	252
48	9	234
48	10	246
49	1	253
49	2	245
49	3	245
49	4	235
49	5	257
49	6	258
49	7	237
49	8	246
49	9	250
49	10	265
50	1	245
50	2	248
50	3	258
50	4	251
50	5	260
50	6	263
50	7	246
50	8	265
50	9	268
50	10	255
51	1	276
51	2	272
51	3	263
51	4	268
51	5	274
51	6	262
51	7	259
51	8	270
51	9	275
51	10	277
52	1	285
52	2	274
52	3	271
52	4	277
52	5	281
52	6	277
52	7	258
52	8	253
52	9	266
52	10	286
53	1	273
53	2	280
53	3	280
53	4	298
53	5	289
53	6	285
53	7	281
53	8	287
53	9	268
53	10	287
54	1	277
54	2	292
54	3	283
54	4	288
54	5	294
54	6	293
54	7	267
54	8	272
54	9	290
