length	run	comparisons	blacklistings
8	1	65	0
8	2	52	0
8	3	43	0
8	4	59	0
8	5	48	0
8	6	67	0
8	7	58	0
8	8	64	0
8	9	44	0
8	10	54	0
16	1	171	0
16	2	191	0
16	3	141	0
16	4	181	0
16	5	172	0
16	6	182	0
16	7	170	0
16	8	158	0
16	9	162	0
16	10	179	0
24	1	288	0
24	2	324	0
24	3	335	0
24	4	278	0
24	5	350	0
24	6	271	0
24	7	331	0
24	8	296	0
24	9	293	0
24	10	337	0
32	1	477	0
32	2	505	0
32	3	443	0
32	4	496	0
32	5	501	0
32	6	450	0
32	7	449	0
32	8	434	0
32	9	447	0
32	10	500	0
40	1	549	0
40	2	685	0
40	3	700	0
40	4	598	0
40	5	541	0
40	6	627	0
40	7	568	0
40	8	542	0
40	9	674	0
40	10	513	0
48	1	809	0
48	2	846	0
48	3	709	0
48	4	680	0
48	5	808	0
48	6	845	0
48	7	788	0
48	8	806	0
48	9	674	0
48	10	748	0
56	1	1077	0
56	2	847	0
56	3	988	0
56	4	1026	0
56	5	1029	0
56	6	912	0
56	7	1040	0
56	8	1060	0
56	9	981	0
56	10	1036	0
64	1	933	0
64	2	1205	0
64	3	1119	0
64	4	1048	0
64	5	1192	0
64	6	1071	0
64	7	1238	0
64	8	1129	0
64	9	1158	0
64	10	1251	0
72	1	1097	1
72	2	1089	0
72	3	1152	0
72	4	1465	0
72	5	1221	0
72	6	1173	0
72	7	1206	0
72	8	1203	0
72	9	1232	0
72	10	1382	0
80	1	1485	0
80	2	1586	0
80	3	1418	0
80	4	1599	0
80	5	1583	0
80	6	1381	0
80	7	1546	0
80	8	1292	0
80	9	1685	0
80	10	1528	0
88	1	1783	0
88	2	1732	0
88	3	1616	0
88	4	1665	0
88	5	1759	0
88	6	1765	0
88	7	1625	0
88	8	1782	0
88	9	1701	0
88	10	1809	0
96	1	2085	0
96	2	1940	0
96	3	2145	0
96	4	1813	0
96	5	1637	0
96	6	1792	0
96	7	1858	0
96	8	2117	0
96	9	1877	0
96	10	2141	0
104	1	2258	0
104	2	2026	0
104	3	2326	0
104	4	2050	0
104	5	1982	0
104	6	2090	0
104	7	1947	1
104	8	1935	0
104	9	2035	0
104	10	2064	0
112	1	2385	0
112	2	2374	0
112	3	2535	0
112	4	2347	0
112	5	1927	0
112	6	2304	0
112	7	2433	0
112	8	2430	0
112	9	2483	0
112	10	2268	0
120	1	2342	0
120	2	2619	0
120	3	2380	0
120	4	2520	0
120	5	2589	0
120	6	2588	0
120	7	2620	0
120	8	2418	0
120	9	2515	0
120	10	2684	0
128	1	2649	0
128	2	2849	0
128	3	2671	0
128	4	2508	0
128	5	2787	0
128	6	2466	0
128	7	2971	0
128	8	2735	0
128	9	2523	0
128	10	2875	0
136	1	2924	0
136	2	2881	0
136	3	2485	0
136	4	3054	0
136	5	3009	0
136	6	3103	0
136	7	2676	0
136	8	3015	0
136	9	3053	0
136	10	2734	0
144	1	3010	0
144	2	3075	0
144	3	2761	0
144	4	3663	0
144	5	3048	0
144	6	3069	0
144	7	3065	0
144	8	3360	0
144	9	2758	1
144	10	3311	0
152	1	3477	0
152	2	3385	0
152	3	3722	0
152	4	3634	0
152	5	2806	0
152	6	3466	0
152	7	3598	0
152	8	3177	0
152	9	3280	0
152	10	3392	0
160	1	3549	0
160	2	3058	1
160	3	3495	0
160	4	3466	0
160	5	3661	0
160	6	3881	0
160	7	3794	0
160	8	3598	0
160	9	3888	0
160	10	3756	0
168	1	4129	0
168	2	3656	0
168	3	3395	0
168	4	3281	0
168	5	3843	0
168	6	3985	0
168	7	3817	0
168	8	3830	0
168	9	3798	0
168	10	3671	0
176	1	3610	0
176	2	3752	0
176	3	3563	0
176	4	4238	0
176	5	4202	0
176	6	4200	0
176	7	3521	0
176	8	4051	0
176	9	4349	0
176	10	4087	0
184	1	4215	0
184	2	4190	0
184	3	4053	0
184	4	4242	0
184	5	4094	0
184	6	4395	0
184	7	3503	0
184	8	3873	0
184	9	4462	0
184	10	4302	0
192	1	4548	0
192	2	4851	0
192	3	4373	0
192	4	4161	0
192	5	4241	0
192	6	4234	0
192	7	4594	0
192	8	4276	0
192	9	3974	0
192	10	4768	0
200	1	4706	0
200	2	4528	0
200	3	4640	0
200	4	4747	0
200	5	4444	0
200	6	4793	0
200	7	5040	0
200	8	4126	0
200	9	4651	0
200	10	4757	0
208	1	5099	0
208	2	5413	0
208	3	4706	0
208	4	4685	0
208	5	4777	0
208	6	4440	0
208	7	4749	0
208	8	4695	0
208	9	4208	0
208	10	5020	0
216	1	4994	0
216	2	4990	0
216	3	5409	0
216	4	5126	0
216	5	4306	1
216	6	5522	0
216	7	4640	0
216	8	5617	0
216	9	5170	0
216	10	5076	0
224	1	4347	1
224	2	5593	0
224	3	5555	0
224	4	5373	0
224	5	4669	0
224	6	5306	0
224	7	5258	0
224	8	5276	0
224	9	5167	0
224	10	4472	1
232	1	5774	0
232	2	5757	0
232	3	5103	0
232	4	5091	0
232	5	5524	0
232	6	5146	0
232	7	5433	0
232	8	5936	0
232	9	5314	0
232	10	5869	0
240	1	5867	0
240	2	5438	0
240	3	5570	0
240	4	5757	0
240	5	5994	0
240	6	5622	0
240	7	5394	0
240	8	5651	0
240	9	5732	0
240	10	5129	0
248	1	5391	0
248	2	6091	0
248	3	6131	0
248	4	5608	1
248	5	5370	0
248	6	5500	0
248	7	5870	0
248	8	5937	0
248	9	5825	0
248	10	6033	0
256	1	6087	0
256	2	6269	0
256	3	6029	0
256	4	6273	0
256	5	6637	0
256	6	5856	0
256	7	6049	0
256	8	6050	0
256	9	6564	0
256	10	6138	0
264	1	6825	0
264	2	6279	0
264	3	6090	0
264	4	6305	0
264	5	5820	0
264	6	4729	1
264	7	6125	0
264	8	5462	1
264	9	5783	0
264	10	4763	1
272	1	5990	1
272	2	6640	0
272	3	6626	0
272	4	6359	0
272	5	5684	1
272	6	6535	0
272	7	6539	0
272	8	7468	0
272	9	6490	0
272	10	6663	0
280	1	6988	0
280	2	5669	1
